English,Spanish
higher,más alto
threw,lanzar
worse,peor
built,construido
spoken,hablado
glass,vaso
board,junta
vain,vano
affairs,negocios
instance,instancia
safe,seguro
loss,pérdida
offer,oferta
lower,más bajo
wouldn't,no lo haría
repeated,repetido
forms,formas
darkness,oscuridad
passion,pasión
ones,unos
example,ejemplo
ears,orejas
questions,preguntas
start,comenzar
lying,mintiendo
smiled,sonrió
keeping,acuerdo
spite,despecho
shown,mostrado
silver,plata
sufficient,suficiente
main,principal
mentioned,mencionado
pride,orgullo
crowd,multitud
train,tren
wonderful,maravilloso
moral,moral
instant,instante
associated,asociado
path,camino
greek,griego
meaning,significado
fit,adaptar
ordered,ordenado
lot,lote
proved,demostrado
obliged,obligado
enter,ingresar
rule,regla
sword,espada
attack,ataque
seat,asiento
game,juego
health,salud
paragraph,párrafo
statement,declaración
social,social
refund,reembolso
sorry,Lo siento
courage,coraje
members,miembros
grace,gracia
official,oficial
dream,sueño
worthy,valioso
rock,roca
provided,proporcionó
shook,sacudió
request,pedido
mighty,poderoso
glance,mirada
heads,cabezas
fee,tarifa
share,compartir
expect,esperar
spread,desparramar
opposite,opuesto
space,espacio
engaged,comprometido
ordinary,común
taste,gusto
iron,hierro
isn't,no lo es
distribute,distribuir
trade,comercio
consider,considerar
greatly,muy
accepted,aceptado
forced,forzado
advantage,ventaja
ideas,ideas
decided,decidido
using,usando
officer,oficial
rate,tasa
sign,firmar
feelings,sentimientos
promised,prometido
judge,juez
captain,capitán
finished,finalizado
extent,medida
watched,observó
curious,curioso
foreign,extranjero
besides,además
method,método
excellent,excelente
confidence,confianza
marked,marcado
